10000	8.74246
20000	13.0403
30000	16.1981
40000	18.7414
50000	20.8889
60000	22.7555
70000	24.415
80000	25.9063
90000	27.2648
100000	28.512
110000	29.6717
120000	30.7509
130000	31.7602
140000	32.7068
150000	33.6074
160000	34.4597
170000	35.2747
180000	36.0451
190000	36.7831
200000	37.4854
210000	38.1668
220000	38.8217
230000	39.454
240000	40.0649
250000	40.6516
260000	41.2129
270000	41.7557
280000	42.2811
290000	42.7894
300000	43.2832
310000	43.7616
320000	44.2246
330000	44.6749
340000	45.1169
350000	45.548
360000	45.9686
370000	46.3812
380000	46.7894
390000	47.194
400000	47.5951
410000	48.025
420000	48.4749
430000	48.9708
440000	49.3472
450000	49.7097
460000	50.0656
470000	50.4189
480000	50.761
490000	51.0941
500000	51.4176
510000	51.731
520000	52.0335
530000	52.3333
540000	52.6305
550000	52.9258
560000	53.2135
570000	53.4925
580000	53.7656
590000	54.0341
600000	54.2965
610000	54.5564
620000	54.8106
630000	55.0635
640000	55.3126
650000	55.5596
660000	55.8057
670000	56.0497
680000	56.3018
690000	56.5592
700000	56.8402
710000	57.1736
720000	57.4162
730000	57.6457
740000	57.872
750000	58.093
760000	58.3066
770000	58.5192
780000	58.729
790000	58.9328
800000	59.1348
810000	59.3354
820000	59.5318
830000	59.7278
840000	59.9224
850000	60.1155
860000	60.3007
870000	60.486
880000	60.6722
890000	60.8555
900000	61.0364
910000	61.2192
920000	61.4117
930000	61.6109
940000	61.8458
950000	62.0571
960000	62.2316
970000	62.4069
980000	62.5762
990000	62.7458
1000000	62.9105
